project_id,project_name,description,state,district,latitude,longitude,category,sanctioned_amount,actual_expenditure,start_date,completion_date,contractor,reported_progress,image_path
MPL-00101,Construction of village playground in Tagorepur,Construction of village playground in Tagorepur,Maharashtra,Nashik,19.976521,73.906227,Sports Infrastructure,1115194.93,1132462.44,2022-07-04,2022-10-16,Reliable Infra Ltd.,89.7,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00498,Check dam construction for irrigation in Gopalpur,Check dam construction for irrigation in Gopalpur,Maharashtra,Aurangabad,19.797584,75.325356,Irrigation,2351391.87,2097844.46,2022-11-14,2023-05-12,Om Infra Ltd.,94.6,/static/demo_images/irrigation_placeholder.jpg
MPL-00743,"Construction of additional classrooms at Government School, Saraswatipur","Construction of additional classrooms at Government School, Saraswatipur",Bihar,Patna,25.655342,85.100613,School Infrastructure,2846057.03,2608778.15,2021-07-10,2021-12-14,Om Infra Ltd.,98.8,/static/demo_images/school_infrastructure_placeholder.jpg
MPL-00959,Repair and widening of village road in Tagorepur,Repair and widening of village road in Tagorepur,Uttar Pradesh,Varanasi,25.452576,83.097102,Road Construction,2707830.39,2702792.46,2020-07-05,2020-12-13,SuperFast Construction Co.,96.0,/static/demo_images/road_construction_placeholder.jpg
MPL-00658,Construction of Community Centre in Rampur,Construction of Community Centre in Rampur,Bihar,Darbhanga,26.240227,85.815386,Community Hall,1958426.55,4077752.41,2023-12-25,2024-04-15,National Infra Ltd.,97.1,/static/demo_images/community_hall_placeholder.jpg
MPL-00031,Construction of public toilet complex in Rampur,Construction of public toilet complex in Rampur,Tamil Nadu,Coimbatore,11.087769,76.905456,Sanitation,1071571.12,1082765.85,2021-12-28,2022-04-24,Sundar Construction Co.,96.8,/static/demo_images/sanitation_placeholder.jpg
MPL-00594,Upgradation of health centre facilities in Ganeshpur,Upgradation of health centre facilities in Ganeshpur,West Bengal,Kolkata,22.565167,88.324222,Healthcare Facility,2270428.5,2222930.04,2019-05-23,2020-03-20,Om Infra Ltd.,95.4,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00565,Construction of dispensary building in Lakshmipur,Construction of dispensary building in Lakshmipur,Tamil Nadu,Madurai,9.776499,78.187405,Healthcare Facility,3810580.24,3940503.63,2021-01-28,2021-10-19,Cityscape Construction Co.,95.1,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00391,Construction of village public library in Narayanpur,Construction of village public library in Narayanpur,Karnataka,Mangaluru,12.928669,74.777142,Library,964210.83,937807.66,2021-05-12,2021-08-17,Reliable Builders,95.5,/static/demo_images/library_placeholder.jpg
MPL-00344,Rural electrification work in Chandpur,Rural electrification work in Chandpur,Tamil Nadu,Salem,11.602372,78.281092,Electrification,730968.36,690744.22,2019-02-06,2019-05-06,United Infra Ltd.,95.0,/static/demo_images/electrification_placeholder.jpg
MPL-00504,Building of village community hall at Anandpur,Building of village community hall at Anandpur,Kerala,Thrissur,10.606757,76.258772,Community Hall,2104800.1,1866860.29,2020-03-30,2020-07-31,Sundar Engineering Works,88.8,/static/demo_images/community_hall_placeholder.jpg
MPL-00545,Building of village community hall at Rampur,Building of village community hall at Rampur,Karnataka,Bengaluru,12.985444,77.596823,Community Hall,1870865.93,1700825.5,2020-08-25,2021-04-18,Shree Balaji Infra Pvt Ltd,95.9,/static/demo_images/community_hall_placeholder.jpg
MPL-00566,Construction of Community Centre in Vijaynagar,Construction of Community Centre in Vijaynagar,Maharashtra,Nagpur,21.123028,79.092475,Community Hall,1511366.95,1514815.72,2022-07-11,2022-12-13,United Engineering Works,92.0,/static/demo_images/community_hall_placeholder.jpg
MPL-00071,Construction of open gymnasium in Rampur,Construction of open gymnasium in Rampur,Rajasthan,Jaipur,27.02321,75.775893,Sports Infrastructure,719624.49,686297.15,2023-12-16,2024-04-07,Om Infra Ltd.,88.1,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00008,Renovation of primary school building in Ashoknagar,Renovation of primary school building in Ashoknagar,Karnataka,Bengaluru,12.94029,77.718964,School Infrastructure,1905933.33,1721012.12,2021-10-07,2022-03-22,Progressive Engineering Works,93.1,/static/demo_images/school_infrastructure_placeholder.jpg
MPL-00075,Rural electrification work in Indranagar,Rural electrification work in Indranagar,Rajasthan,Jodhpur,26.335065,72.959152,Electrification,539133.51,521551.04,2020-08-31,2020-12-14,Cityscape Builders,93.1,/static/demo_images/electrification_placeholder.jpg
MPL-00554,Installation of irrigation pump sets in Krishnapur,Installation of irrigation pump sets in Krishnapur,West Bengal,Durgapur,23.59407,87.33622,Irrigation,2214591.72,2267009.3,2024-05-03,2024-10-30,United Engineering Works,90.6,/static/demo_images/irrigation_placeholder.jpg
MPL-00057,Upgradation of health centre facilities in Devipur,Upgradation of health centre facilities in Devipur,Maharashtra,Pune,18.577936,73.798562,Healthcare Facility,2953888.96,2790397.4,2022-09-16,2023-04-06,Skyline Builders,95.5,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00492,Construction of link road connecting Ganeshpur,Construction of link road connecting Ganeshpur,Bihar,Patna,25.663488,85.282674,Road Construction,3484070.43,3504187.33,2024-03-19,2024-12-18,Highway Infra Ltd.,86.2,/static/demo_images/road_construction_placeholder.jpg
MPL-00584,Repair and widening of village road in Ashoknagar,Repair and widening of village road in Ashoknagar,Karnataka,Hubli,15.366092,75.063973,Road Construction,2779604.73,2536863.5,2023-08-25,2024-03-08,Apex Engineering Works,88.8,/static/demo_images/road_construction_placeholder.jpg
MPL-00496,Development of sports ground with boundary wall in Krishnapur,Development of sports ground with boundary wall in Krishnapur,Maharashtra,Thane,19.143915,73.012839,Sports Infrastructure,962738.83,867804.26,2020-04-01,2020-07-26,Sundar Infra Ltd.,98.7,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00053,Check dam construction for irrigation in Shivnagar,Check dam construction for irrigation in Shivnagar,Rajasthan,Jodhpur,26.377136,73.064976,Irrigation,2714543.89,2691366.38,2022-01-11,2022-06-15,Progressive Construction Co.,96.6,/static/demo_images/irrigation_placeholder.jpg
MPL-00530,Borewell and handpump installation for Sundarpur,Borewell and handpump installation for Sundarpur,Rajasthan,Jodhpur,26.308943,73.025565,Drinking Water,820558.11,762186.91,2020-02-06,2020-05-20,Cityscape Builders,92.4,/static/demo_images/drinking_water_placeholder.jpg
MPL-00869,Construction of Community Centre in Nehrunagar,Construction of Community Centre in Nehrunagar,Rajasthan,Kota,25.241151,75.785727,Community Hall,931903.05,795441.93,2019-01-20,2019-07-26,Rapid Nation Builders,98.7,/static/demo_images/community_hall_placeholder.jpg
MPL-00974,Construction of Community Centre in Saraswatipur,Construction of Community Centre in Saraswatipur,Rajasthan,Jaipur,26.942718,75.843467,Community Hall,943443.82,852481.47,2021-05-31,2021-12-02,SuperFast Construction Co.,98.3,/static/demo_images/community_hall_placeholder.jpg
MPL-00110,Construction of Community Centre in Narayanpur,Construction of Community Centre in Narayanpur,Tamil Nadu,Salem,11.612737,77.998319,Community Hall,2020521.19,1788442.03,2023-04-07,2023-10-11,Progressive Construction Co.,95.6,/static/demo_images/community_hall_placeholder.jpg
MPL-00534,Repair and widening of village road in Nehrunagar,Repair and widening of village road in Nehrunagar,Tamil Nadu,Salem,11.735028,78.012444,Road Construction,3399708.91,3348477.31,2019-07-31,2020-02-20,United Infra Ltd.,90.7,/static/demo_images/road_construction_placeholder.jpg
MPL-00601,Construction of Community Centre in Anandpur,Construction of Community Centre in Anandpur,Karnataka,Mangaluru,13.047527,74.971302,Community Hall,1236730.7,1285732.25,2021-07-25,2022-02-24,National Engineering Works,99.6,/static/demo_images/community_hall_placeholder.jpg
MPL-00343,Installation of high-mast lighting in Krishnapur,Installation of high-mast lighting in Krishnapur,Kerala,Kochi,9.876558,76.183289,Electrification,470321.46,406186.21,2023-07-11,2023-09-25,National Engineering Works,90.2,/static/demo_images/electrification_placeholder.jpg
MPL-00531,Construction of open gymnasium in Rampur,Construction of open gymnasium in Rampur,Maharashtra,Pune,18.589936,73.99168,Sports Infrastructure,805983.2,732766.14,2024-05-19,2024-09-20,Ganga Engineering Works,87.4,/static/demo_images/sports_infrastructure_placeholder.jpg
